Q1A_7;Q1A_13;Q1B_7;Q1B_18;Q1C_1;Q1C_3;Q1C_9;Q1C_12;Q11;Q18_1;Q18_7;Q18_9;Q19_5;Q19_6;T1;T2;T2B;T3;T4;T5;T5B;T8;T9;T10;T11;T14;bv1
5;1;4;1;5;4;1;4;4;5;5;2;2;2;1;2;2;5;1;4;1;3;5;4;3;3;4
5;1;4;1;5;4;1;4;4;5;5;2;2;2;2;3;2;5;1;4;1;3;5;4;3;3;4
5;1;4;1;5;4;1;4;4;5;5;2;2;2;1;4;2;5;1;4;1;3;5;4;3;3;4
5;1;4;1;5;4;1;4;4;5;5;2;2;2;2;5;2;5;1;4;1;3;5;4;3;3;4
5;1;4;1;5;4;1;4;4;5;5;2;2;2;1;6;2;5;1;4;1;3;5;4;3;3;4
2;3;2;4;3;3;4;2;2;2;2;4;4;5;2;1;6;5;1;4;2;3;1;7;3;6;1
2;3;2;4;3;3;4;2;2;2;2;4;4;5;1;1;6;5;1;4;2;3;1;7;3;6;1
2;3;2;4;3;3;4;2;2;2;2;4;4;5;2;1;6;5;1;4;2;3;1;7;3;6;1
2;3;2;4;3;3;4;2;2;2;2;4;4;5;1;1;6;5;1;4;2;3;1;7;3;6;1
2;3;2;4;3;3;4;2;2;2;2;4;4;5;2;2;6;5;1;4;2;3;1;7;3;6;1
1;5;1;5;1;2;5;1;1;1;1;5;5;5;1;2;2;5;1;2;1;3;5;4;4;3;4
1;5;1;5;1;2;5;1;1;1;1;5;5;5;2;3;2;5;1;2;1;3;5;4;4;3;4
1;5;1;5;1;2;5;1;1;1;1;5;5;5;1;4;2;5;1;2;1;3;5;4;4;3;4
1;5;1;5;1;2;5;1;1;1;1;5;5;5;2;5;2;5;1;2;1;3;5;4;4;3;4
1;5;1;5;1;2;5;1;1;1;1;5;5;5;1;6;2;5;1;2;1;3;5;4;4;3;4
